node_1|node_2|edge|chunk_id
Meaning|Priority|...unless literal translation leads to distorting the intended meaning, I have given priority to the meaning.|ab035c189a113577dfb811018f97c72e
Original words|Terminology|I have kept the original words transliterated (without translation) when they were used as terminology...|f292a09a03f4fbf73eb7d09346a3c5eb
Abstract|Acknowledgements|The abstract comes before acknowledgments in the table of contents|70ad80e391f2b611c95b526a759be8a7
Introduction|Scope and Outline|The introduction chapter is part of the scope and outline of the book|062735366292289abe6f2733c40a5a54
Modernity|Ambiguity|Modernity and ambiguity are related concepts that are discussed in the foundational layer of difference|fb2238c1ae54b7d42c1ec62f408ab590
Historical Approach|Geographical Approach|The historical approach and geographical approach are two different methods used to understand modernity and ambiguity|cbbc2fc90108f7b146eef78e0c0495a0
Components|Looking into Components|The chapter on looking into components is a detailed analysis of the parts that make up modernity and ambiguity|6335cd5727f339780ffe07fc533a66ab
Muslim Responses|Modernity|Muslim responses to modernity are discussed as a way to understand how different cultures respond to this concept|ff76dfd99f7522e2eddd1a337777b468
Al-Mashhūr|Justification for Selection|The chapter on al-mashhūr is justified as being relevant and important in the selection of topics in the book|7cd3baf4ec2ff0807eed0acc43b0733c
Abstract|Acknowledgements|The abstract comes before acknowledgments in the table of contents|70ad80e391f2b611c95b526a759be8a7
Introduction|Scope and Outline|The introduction chapter is part of the scope and outline of the book|062735366292289abe6f2733c40a5a54
Modernity|Ambiguity|Modernity and ambiguity are related concepts that are discussed in the foundational layer of difference|fb2238c1ae54b7d42c1ec62f408ab590
Historical Approach|Geographical Approach|The historical approach and geographical approach are two different methods used to understand modernity and ambiguity|cbbc2fc90108f7b146eef78e0c0495a0
Components|Looking into Components|The chapter on looking into components is a detailed analysis of the parts that make up modernity and ambiguity|6335cd5727f339780ffe07fc533a66ab
Muslim Responses|Modernity|Muslim responses to modernity are discussed as a way to understand how different cultures respond to this concept|ff76dfd99f7522e2eddd1a337777b468
Al-Mashhūr|Justification for Selection|The chapter on al-mashhūr is justified as being relevant and important in the selection of topics in the book|7cd3baf4ec2ff0807eed0acc43b0733c
Modernity|Muslim Responses|The research investigates Muslim responses to modernity.|89d1e57ad1a085bf150b6a011aa63339
Literature Review|Background|The literature review provides a background on the topic.|4e87637a59a696c82b83d853bd72c2b8
Selectivist Approach|Problem of Scope|A selectivist approach can lead to problems of scope in understanding Muslim responses.|754a89802391dd2b9b5babdac868d1b2
Binary Responses|Noise|Binary responses can get caught in the noise, making it difficult to understand Muslim responses.|4c2668862258b14c3dbac5499e6080c1
Pigeonholing|Order|Pigeonholing can lead to difficulties in ordering and understanding Muslim responses.|545fcc4879ab2b722a1de2f9334f2366
Lacuna|Literature|A lacuna exists in the literature on Muslim responses to modernity.|141e82a3ec8b971aeefdbebabf53c484
Modernity|Muslim Responses|The research investigates Muslim responses to modernity.|89d1e57ad1a085bf150b6a011aa63339
Literature Review|Background|The literature review provides a background on the topic.|4e87637a59a696c82b83d853bd72c2b8
Selectivist Approach|Problem of Scope|A selectivist approach can lead to problems of scope in understanding Muslim responses.|754a89802391dd2b9b5babdac868d1b2
Binary Responses|Noise|Binary responses can get caught in the noise, making it difficult to understand Muslim responses.|4c2668862258b14c3dbac5499e6080c1
Pigeonholing|Order|Pigeonholing can lead to difficulties in ordering and understanding Muslim responses.|545fcc4879ab2b722a1de2f9334f2366
Lacuna|Literature|A lacuna exists in the literature on Muslim responses to modernity.|141e82a3ec8b971aeefdbebabf53c484
Literature|Framework|The literature provides a suggested typological framework.|13deccb2edb77c38ef87c5e32df5a656
Pigeonholes|Typological Framework|A suggested typological framework is proposed to overcome pigeonholes.|2207b47fc2d763aa79ab6f60bcb02e67
Assimilative Attitude|Modernists|Those with an assimilative attitude are referred to as modernists.|733b4ff7e003a0d4103631ccbd8f9358
Reconciliationists|Assimilative Attitude|The reconciliationists also hold an assimilative attitude.|9ce468b3e5f7d797d61e3d4a15ebc66c
Dismissive Attitude|Rejectionist Traditionalism|Those with a dismissive attitude are referred to as rejectionist traditionalists.|604be7b1b4989c46ec604973f7a1f1d6
Literature|Framework|The literature provides a suggested typological framework.|13deccb2edb77c38ef87c5e32df5a656
Pigeonholes|Typological Framework|A suggested typological framework is proposed to overcome pigeonholes.|2207b47fc2d763aa79ab6f60bcb02e67
Assimilative Attitude|Modernists|Those with an assimilative attitude are referred to as modernists.|733b4ff7e003a0d4103631ccbd8f9358
Reconciliationists|Assimilative Attitude|The reconciliationists also hold an assimilative attitude.|9ce468b3e5f7d797d61e3d4a15ebc66c
Dismissive Attitude|Rejectionist Traditionalism|Those with a dismissive attitude are referred to as rejectionist traditionalists.|604be7b1b4989c46ec604973f7a1f1d6
Neo-Traditionalism|Rejectionist Neo-Traditionalism|is a type of|a0d94a103a4dcdacb1a08e2233648276
Radical Islamism|Neo-Traditionalism|is related to|385def720c7bad074653eee84e467f9b
Conservative Attitude|Adaptationist Traditionalism|exhibits characteristics of|386baa0e02e4a7120b3864a5c1b3ccee
Adaptationist Neo-Traditionalism|Neo-Traditionalism|is a type of|75b412efe80921bcbac588579a51887b
Typology|previous|refers to|b5cb043e8d31fcc28b15d6a9634f2aa2
Conclusion|study|concludes|b9f233dd0e8ae53e18d555f5ac9642b4
Research Approach and Methodology|research|describes the methodology for|351e6787140b1ad84dec8d19b3747986
Critical Discourse Analysis|methodology|is used as|783cfc27fb01fbec2487f8e8ddabd5e3
Neo-Traditionalism|Rejectionist Neo-Traditionalism|is a type of|a0d94a103a4dcdacb1a08e2233648276
Radical Islamism|Neo-Traditionalism|is related to|385def720c7bad074653eee84e467f9b
Conservative Attitude|Adaptationist Traditionalism|exhibits characteristics of|386baa0e02e4a7120b3864a5c1b3ccee
Adaptationist Neo-Traditionalism|Neo-Traditionalism|is a type of|75b412efe80921bcbac588579a51887b
Typology|previous|refers to|b5cb043e8d31fcc28b15d6a9634f2aa2
Conclusion|study|concludes|b9f233dd0e8ae53e18d555f5ac9642b4
Research Approach and Methodology|research|describes the methodology for|351e6787140b1ad84dec8d19b3747986
Critical Discourse Analysis|methodology|is used as|783cfc27fb01fbec2487f8e8ddabd5e3
METHODOLOGY|CRITICAL DISCOURSE ANALYSIS|The methodology described is used for conducting Critical Discourse Analysis.|8ac008cc9832f0ec70321be0e80416a5
CORPUS SELECTION AND ENHANCEMENT|CODING AND ANALYSIS|Corpus selection and enhancement are part of the coding and analysis process.|3b8054a268062585b4791ece380eec32
EVALUATION|POSITIONALITY|Evaluation is related to positionality in understanding the relevance and construction of biography.|92da96a6c16c60b6f551666cb666314c
METHODOLOGY|CRITICAL DISCOURSE ANALYSIS|The methodology described is used for conducting Critical Discourse Analysis.|8ac008cc9832f0ec70321be0e80416a5
CORPUS SELECTION AND ENHANCEMENT|CODING AND ANALYSIS|Corpus selection and enhancement are part of the coding and analysis process.|3b8054a268062585b4791ece380eec32
EVALUATION|POSITIONALITY|Evaluation is related to positionality in understanding the relevance and construction of biography.|92da96a6c16c60b6f551666cb666314c
ḤAḎRAMAWT|Historical Background|is an essential part of|ac95e6133f798d15816407e3f848a687
AL-MASHHŪR'S LIFE|Preliminary Remarks|provides an overview of|75abbef0bd2b37ddb40f7808b42bcf67
Aḥwar|Formation Started|is where it began|f25da52f26c74742a0507593e0d01d23
The Father|AL-MASHHŪR'S LIFE|played a significant role in shaping|f55a65e4de2266685c0b165ea4c2eef6
The Mosque|Aḥwar|is an important part of the community's identity|2c4b7c1104e817d128a74fba62fc5637
The School|Aḥwar|plays a vital role in educating|221cb9a6f882d6a63f92b961104a2d7d
Aden|AL-MASHHŪR'S LIFE|shaped the challenges he faced|1294ce8ffa47e2db4014f658b72f99b8
Collapsed Past|New Yemen|had no place for it|3f24164fbdd4ab5a9c72f6bd0266199a
ḤAḎRAMAWT|Historical Background|is an essential part of|ac95e6133f798d15816407e3f848a687
AL-MASHHŪR'S LIFE|Preliminary Remarks|provides an overview of|75abbef0bd2b37ddb40f7808b42bcf67
Aḥwar|Formation Started|is where it began|f25da52f26c74742a0507593e0d01d23
The Father|AL-MASHHŪR'S LIFE|played a significant role in shaping|f55a65e4de2266685c0b165ea4c2eef6
The Mosque|Aḥwar|is an important part of the community's identity|2c4b7c1104e817d128a74fba62fc5637
The School|Aḥwar|plays a vital role in educating|221cb9a6f882d6a63f92b961104a2d7d
Aden|AL-MASHHŪR'S LIFE|shaped the challenges he faced|1294ce8ffa47e2db4014f658b72f99b8
Collapsed Past|New Yemen|had no place for it|3f24164fbdd4ab5a9c72f6bd0266199a
Red Circle|Identity|The Red Circle is related to Identity in a sense that leaving it implies religious exile|d99e7d620ebbee8eacbaed2c40e8af1f
Shaykh|Fatherly Circle|The Shaykh is closing the Fatherly Circle, indicating a paternal or authoritative role|be7972da851084d1e16eeebd521f53c0
Literalism|Ostracising|Literalism can lead to Ostracising, implying exclusion or separation due to strict interpretation of religious texts|885984c7f22b0982bdf99b8a38e7e471
Colonialism|Modernity|Colonialism is a vehicle for spreading Modernity, likely referring to the introduction of Western concepts and values during colonial periods|a01e1d6b80e5435c57261bb71c603bfe
Caliphate|Loss of Authority|The loss of the Caliphate led to a loss of authority in Islamic societies, suggesting a decline in unified Islamic leadership|60b1e1c8f137c6e27bde22e1ba20725b
Unified Islam|Islamisms|The shift from Unified Islam to Islamisms implies a fragmentation or diversification of Islamic thought and practice|da3fd2d0c6cf3bae620f05bf635d9a76
Red Circle|Identity|The Red Circle is related to Identity in a sense that leaving it implies religious exile|d99e7d620ebbee8eacbaed2c40e8af1f
Shaykh|Fatherly Circle|The Shaykh is closing the Fatherly Circle, indicating a paternal or authoritative role|be7972da851084d1e16eeebd521f53c0
Literalism|Ostracising|Literalism can lead to Ostracising, implying exclusion or separation due to strict interpretation of religious texts|885984c7f22b0982bdf99b8a38e7e471
Colonialism|Modernity|Colonialism is a vehicle for spreading Modernity, likely referring to the introduction of Western concepts and values during colonial periods|a01e1d6b80e5435c57261bb71c603bfe
Caliphate|Loss of Authority|The loss of the Caliphate led to a loss of authority in Islamic societies, suggesting a decline in unified Islamic leadership|60b1e1c8f137c6e27bde22e1ba20725b
Unified Islam|Islamisms|The shift from Unified Islam to Islamisms implies a fragmentation or diversification of Islamic thought and practice|da3fd2d0c6cf3bae620f05bf635d9a76
Modernist Islam|Political Islam|Modernist Islam encompasses Political Islam|d9474d16e10bde52ab92a02f4f81acd2
Wahhabism & Extremism|Weakened Taṣawwuf and Madhhabism|The rise of Wahhabism & Extremism contributed to the weakening of Taṣawwuf and Madhhabism|6d6175e6aa98132d77a6dbf83b7e9a42
Nationalism, Democracy, and the Nation-State|Modernist Islam|The collapse of political ceilings led to a re-evaluation of Modernist Islam|576724346e3776c47cba1ced1abc049f
Pragmatism & Bad Colonialism|Conclusion|A pragmatic approach and the recognition of bad colonialism are key takeaways from this chapter|df0570d9715309f6107752ade5339ae1
Modernity & the Production of Knowledge|Al-Mashhūr's Views on Modern Knowledge|Al-Mashhūr's views on modern knowledge are a crucial aspect of understanding the philosophical face of modernity|4e51500cd66687b555c0b9e609436705
Restoring the Missed|Conclusion|The chapter concludes by highlighting the importance of restoring what was missed in the previous discussions|62e9c255dbccab4eeb8670659c004a45
Modernist Islam|Political Islam|Modernist Islam encompasses Political Islam|d9474d16e10bde52ab92a02f4f81acd2
Wahhabism & Extremism|Weakened Taṣawwuf and Madhhabism|The rise of Wahhabism & Extremism contributed to the weakening of Taṣawwuf and Madhhabism|6d6175e6aa98132d77a6dbf83b7e9a42
Nationalism, Democracy, and the Nation-State|Modernist Islam|The collapse of political ceilings led to a re-evaluation of Modernist Islam|576724346e3776c47cba1ced1abc049f
Pragmatism & Bad Colonialism|Conclusion|A pragmatic approach and the recognition of bad colonialism are key takeaways from this chapter|df0570d9715309f6107752ade5339ae1
Modernity & the Production of Knowledge|Al-Mashhūr's Views on Modern Knowledge|Al-Mashhūr's views on modern knowledge are a crucial aspect of understanding the philosophical face of modernity|4e51500cd66687b555c0b9e609436705
Restoring the Missed|Conclusion|The chapter concludes by highlighting the importance of restoring what was missed in the previous discussions|62e9c255dbccab4eeb8670659c004a45
Al-Mashhūr|Views|has views|f1bbbfa94a36d2329ca2ab81f876641e
Modern Knowledge|Summary|summarizes|e51abd684f143fa9d57141602fa4804f
Orientalism|Mechanism|is a mechanism of|1b61c6704f394cf43fd8ef15be23cdbf
Other|Inventing|invents|389077dd221a171c9ccba1d31a713429
Background|Orientalism AS A MECHANISM OF MODERN KNOWLEDGE|provides background information for|5d0c854a7a2cdd5807d9f6c3777ea0d3
Response|Al-Mashhūr|is a response from|0d045a0616d029d95e75916f376309e3
Missrepresentative|Orientalism|missrepresents|835f214549ce15018d07612c8e04878b
Divisive|Orientalism|divides|adc0fe6fc62126d3691ab17a1fa9dc60
Al-Mashhūr|Views|has views|f1bbbfa94a36d2329ca2ab81f876641e
Modern Knowledge|Summary|summarizes|e51abd684f143fa9d57141602fa4804f
Orientalism|Mechanism|is a mechanism of|1b61c6704f394cf43fd8ef15be23cdbf
Other|Inventing|invents|389077dd221a171c9ccba1d31a713429
Background|Orientalism AS A MECHANISM OF MODERN KNOWLEDGE|provides background information for|5d0c854a7a2cdd5807d9f6c3777ea0d3
Response|Al-Mashhūr|is a response from|0d045a0616d029d95e75916f376309e3
Missrepresentative|Orientalism|missrepresents|835f214549ce15018d07612c8e04878b
Divisive|Orientalism|divides|adc0fe6fc62126d3691ab17a1fa9dc60
Privatising|Eurocentric|related concepts in discussing education mechanisms|a78623de79c78636eef73ebcd6171b5f
Muslim Anthropology|Education|negotiation for relevance in redefining the other|1c6dcc8b0b169ce6e5da4025be31ff29
Lacking Completeness|State Dominated|state-dominated education lacking completeness|d756addee4f71a05abced876af0714a2
Ego-Centric & Promotes Individualism|Education|education promotes individualism and ego-centric thinking|4e5c6d5d8a0eb23b94038a03648435de
Negotiation for Relevance|Conclusion|negotiating relevance leads to a conclusion about modernity|697efa64c0a88dce685ef3bb39ba4baf
Al-Mashhūr's Project|Modernity|conception of modernity is the direction and reality for Al-Mashhūr's project|58c95a3c078f24c15dd6365904110862
Privatising|Eurocentric|related concepts in discussing education mechanisms|a78623de79c78636eef73ebcd6171b5f
Muslim Anthropology|Education|negotiation for relevance in redefining the other|1c6dcc8b0b169ce6e5da4025be31ff29
Lacking Completeness|State Dominated|state-dominated education lacking completeness|d756addee4f71a05abced876af0714a2
Ego-Centric & Promotes Individualism|Education|education promotes individualism and ego-centric thinking|4e5c6d5d8a0eb23b94038a03648435de
Negotiation for Relevance|Conclusion|negotiating relevance leads to a conclusion about modernity|697efa64c0a88dce685ef3bb39ba4baf
Al-Mashhūr's Project|Modernity|conception of modernity is the direction and reality for Al-Mashhūr's project|58c95a3c078f24c15dd6365904110862
Modernity|Reality|AL-MASHHŪR's conception of modernity is rooted in reality.|24bbec2907f5c69c98564e7ad3f7b757
Project|Approach|The project's approach needs to be justified and set its preliminaries.|293aefc2dc9e8a6fc544d392d0d5f4d5
Response|Moral Component|The response involves the moral component, which is a crucial aspect of the project.|a5f23e9ae255d76486071a3d07d02c2f
Intellectual Component|Project|The intellectual component plays a significant role in setting the direction for the project.|13e1ef87fc195f9a06ab8726f26dbae4
Acknowledged Limitations|Project|Acknowledged limitations are an essential part of justifying and setting preliminaries for the project.|9b27b25a18e4e4e5cbd5098d94fdd330
Conclusion|Modernity Through Preservation|The conclusion highlights the importance of modernisation through preservation in the context of the project.|75641b18397472c0e42017a56024a6ca
Modernity|Reality|AL-MASHHŪR's conception of modernity is rooted in reality.|24bbec2907f5c69c98564e7ad3f7b757
Project|Approach|The project's approach needs to be justified and set its preliminaries.|293aefc2dc9e8a6fc544d392d0d5f4d5
Response|Moral Component|The response involves the moral component, which is a crucial aspect of the project.|a5f23e9ae255d76486071a3d07d02c2f
Intellectual Component|Project|The intellectual component plays a significant role in setting the direction for the project.|13e1ef87fc195f9a06ab8726f26dbae4
Acknowledged Limitations|Project|Acknowledged limitations are an essential part of justifying and setting preliminaries for the project.|9b27b25a18e4e4e5cbd5098d94fdd330
Conclusion|Modernity Through Preservation|The conclusion highlights the importance of modernisation through preservation in the context of the project.|75641b18397472c0e42017a56024a6ca
Appendix|Networks & Numbers|The Appendix contains information related to networks and numbers.|18fe3efb3fba75b8196e58fff5735448
Bibliography||The Bibliography provides a list of references used in the context.|cdb325e3de6319c8aa72e480ef2b3b3c
Codex of Al-Mashhūr's Core Works|Al-Mashhūr's Book|The Codex of Al-Mashhūr's Core Works is a collection of his notable works.|8bfaf92790e5691663eef1147b9d60e9
Networks & Numbers|Appendix|The Networks & Numbers appendix provides additional information related to networks and numbers.|6c39fd4bc6214507cb56fe922b8c0bbb
Appendix|Networks & Numbers|The Appendix contains information related to networks and numbers.|18fe3efb3fba75b8196e58fff5735448
Bibliography||The Bibliography provides a list of references used in the context.|cdb325e3de6319c8aa72e480ef2b3b3c
Codex of Al-Mashhūr's Core Works|Al-Mashhūr's Book|The Codex of Al-Mashhūr's Core Works is a collection of his notable works.|8bfaf92790e5691663eef1147b9d60e9
Networks & Numbers|Appendix|The Networks & Numbers appendix provides additional information related to networks and numbers.|6c39fd4bc6214507cb56fe922b8c0bbb
Thesis|Importance|The thesis highlights its importance.|7dc0f41042dfce5156ce9293ddde354e
Justification|Research questions|The chapter sets out the justification of this thesis and poses research questions.|3352b35e2407d602ac46df516527d7c1
Traditionalist narrative|Neglect|A neglected narrative in the current academic studies of Muslim responses to modernity is pointed out.|625969759c17d98b723386c33a6d901b
Definition of modernity|Debates|Foundational discussions start with debates about the definition of modernity.|775ee4f893c92ecd9e5bcf683779cba2
Muslim responses to modernity|Imbalance|The current academic studies covering those responses are criticized for their imbalance and generalization.|08e99f161deeba39307695479d11e94c
Traditional Muslim responses to modernity|Narrative|A dominant narrative in academia depicts traditional Muslim responses to modernity as ‘obstructive’, ‘disengaging’ and ‘antagonistic’.|539425e8598b79174abeb198bab07aec
