node_1|node_2|edge|chunk_id|node_3
Prunella|Learners|Prunella is confident that the tables will resonate with learners|c1d792c5d5c69ad60f6bd1a18b58c61a|
Percy|Positive change|Percy envisions the tables sparking positive change in learners|a93ac3c8ee730959617245ccc1da8bd9|
Claude|Iconic figures|Claude sees learners being transported into the worlds of iconic figures|4fd3780c2b99e1f3dd685606dbcb0926|
Cyril|Vibrant cultures|Cyril curates immersive media formats that connect learners with vibrant cultures|4848abb29d087f5682af84e6907f25cb|
César Chávez|Predictive Visionary|César Chávez is a predictive visionary|a68c404d494e5524019a52650ad21c19|
Scenario Exploration|Interactive Installation|The scenario exploration is an interactive installation|e973204a124850a4bd2230e60cc3df9f|
Quackers|South America region|Quackers admires comprehensive tables for the South America region|5f3dc5f21684503e214b5589e7120e72|
Diverse personas|Innovative media formats|The tables showcase diverse personas and innovative media formats|28131922723abc1ed36ab0bff8dc458c|
Amplifying marginalized voices|Social activism|The tables emphasize amplifying marginalized voices and social activism|8830feb2fb4f677f7ef27f40b6ac36c0|
Prunella|Learners|Prunella is confident that the tables will resonate with learners|c1d792c5d5c69ad60f6bd1a18b58c61a|
Percy|Positive change|Percy envisions the tables sparking positive change in learners|a93ac3c8ee730959617245ccc1da8bd9|
Claude|Iconic figures|Claude sees learners being transported into the worlds of iconic figures|4fd3780c2b99e1f3dd685606dbcb0926|
Cyril|Vibrant cultures|Cyril curates immersive media formats that connect learners with vibrant cultures|4848abb29d087f5682af84e6907f25cb|
Sophia|South America|relates to (Sophia's personal and professional journey is shaped by her experiences with South America tables)|be19ad8b68e0a796e890eed54229b185|
Gabriel García Márquez|Macondo|related to (Macondo is a fictional town in Gabriel García Márquez's magical realism stories)|284ec502a438cf8f361c45573918e5f0|
Frida Kahlo|canvas|related to (Frida's canvas is the medium through which she expresses herself and her culture)|265349617d2cb804deec57e6c151aedf|
Rigoberta Menchú|activism|related to (Rigoberta Menchú is an activist who has fought for social justice in Guatemala)|2f26dde56e1d778c8b98c62806ceca1e|
Vozes da Favela|social enterprise|is a type of (Vozes da Favela is a social enterprise that aims to amplify the voices and stories of marginalized communities)|f596c1842f904a3f2403f2b2a03ac115|
South America tables|transformative power|has (the South America tables have transformative power, as seen in Sophia's personal and professional journey)|67a5cd7ffa32c796cc7707be5c27c90a|
Sophia|South America|relates to (Sophia's personal and professional journey is shaped by her experiences with South America tables)|be19ad8b68e0a796e890eed54229b185|
Gabriel García Márquez|Macondo|related to (Macondo is a fictional town in Gabriel García Márquez's magical realism stories)|284ec502a438cf8f361c45573918e5f0|
Frida Kahlo|canvas|related to (Frida's canvas is the medium through which she expresses herself and her culture)|265349617d2cb804deec57e6c151aedf|
Rigoberta Menchú|activism|related to (Rigoberta Menchú is an activist who has fought for social justice in Guatemala)|2f26dde56e1d778c8b98c62806ceca1e|
Vozes da Favela|social enterprise|is a type of (Vozes da Favela is a social enterprise that aims to amplify the voices and stories of marginalized communities)|f596c1842f904a3f2403f2b2a03ac115|
South America tables|transformative power|has (the South America tables have transformative power, as seen in Sophia's personal and professional journey)|67a5cd7ffa32c796cc7707be5c27c90a|
Voices of the Favela|social enterprise|Voices of the Favela is a social enterprise that aims to amplify the voices and stories of marginalized communities in Brazil.|04f5212995023747d668fa715bf33176|
Brazil|marginalized communities|Brazil has marginalized communities that Voices of the Favela aims to amplify through multimedia storytelling and immersive experiences.|6b0426aac08efdd9c6e3c37b42c730ae|
Conceptual Blending Challenges|storytelling experiences|Conceptual Blending Challenges helped create unique and captivating storytelling experiences that challenge traditional narratives.|b45370a81ed71ea585a746aeabe3ba44|
Culturally Contextualized Debates|social issues|Culturally Contextualized Debates explored different cultural perspectives, gaining a deeper understanding of complex social issues facing marginalized communities.|cf9af6a3127521438ad6be04178ebacc|
Interactive Narrative Simulations|empathy|Interactive Narrative Simulations helped develop empathy and a more nuanced understanding of the stories to be told.|41eba1ade99ab8feb98757a88562b293|
social impact venture|Voices of the Favela|Voices of the Favela is a social impact venture that amplifies the voices and stories of marginalized communities in Brazil.|1b78d2e9cbf267b026102efa058e8f82|
Voices of the Favela|social enterprise|Voices of the Favela is a social enterprise that aims to amplify the voices and stories of marginalized communities in Brazil.|04f5212995023747d668fa715bf33176|
Brazil|marginalized communities|Brazil has marginalized communities that Voices of the Favela aims to amplify through multimedia storytelling and immersive experiences.|6b0426aac08efdd9c6e3c37b42c730ae|
Conceptual Blending Challenges|storytelling experiences|Conceptual Blending Challenges helped create unique and captivating storytelling experiences that challenge traditional narratives.|b45370a81ed71ea585a746aeabe3ba44|
Culturally Contextualized Debates|social issues|Culturally Contextualized Debates explored different cultural perspectives, gaining a deeper understanding of complex social issues facing marginalized communities.|cf9af6a3127521438ad6be04178ebacc|
Interactive Narrative Simulations|empathy|Interactive Narrative Simulations helped develop empathy and a more nuanced understanding of the stories to be told.|41eba1ade99ab8feb98757a88562b293|
social impact venture|Voices of the Favela|Voices of the Favela is a social impact venture that amplifies the voices and stories of marginalized communities in Brazil.|1b78d2e9cbf267b026102efa058e8f82|
Culturally Contextualized Debate|Conceptual Blending Challenge|These prompts and sequences are related, as they allow for understanding different viewpoints and experiences within a specific community, followed by creating an immersive storytelling experience that blends those perspectives.|8fcefce22b1ffc5af897749c31f8bf30|
Interactive Narrative Simulation|Conceptual Blending Challenge|These two concepts are related in that the simulation brings to life the experience created through the conceptual blending challenge, allowing for a more immersive storytelling experience.|412a53618eeb3a87138b5c76a6079a4e|
Identity|Social Activism|Embracing one's identity and amplifying the voices of one's community are related in that they both contribute to social activism and the rich tapestry of South American storytelling.|03660f45484af163faf3266b8bce23e2|
Culturally Contextualized Debate|Conceptual Blending Challenge|These prompts and sequences are related, as they allow for understanding different viewpoints and experiences within a specific community, followed by creating an immersive storytelling experience that blends those perspectives.|8fcefce22b1ffc5af897749c31f8bf30|
Interactive Narrative Simulation|Conceptual Blending Challenge|These two concepts are related in that the simulation brings to life the experience created through the conceptual blending challenge, allowing for a more immersive storytelling experience.|412a53618eeb3a87138b5c76a6079a4e|
Identity|Social Activism|Embracing one's identity and amplifying the voices of one's community are related in that they both contribute to social activism and the rich tapestry of South American storytelling.|03660f45484af163faf3266b8bce23e2|
Transformational Learning|Learning|is a fundamental skill of learning|c2751c130371dd39592205774d2be02e|
Knowing about oneself|Understanding one's abilities and limits|are important for transformational learning|b39cd89db344f660a84123df6c27d5a1|
Linguistic Learning Machines (LLMs)|Answers|people approach LLMs expecting answers, instead of producing answers themselves|e25d798b4dec2b1117ceaf40aa824438|
Understanding LLMs|Understanding learning deeply|are necessary to use LLMs effectively|d2b8c7a937ce31ed08cbb20107cac29c|
Goal and knowledge map|Intuitive leaps|can be used to simplify the representation of a goal and a knowledge map|32c8bef14890bea67cbc8f4bf8b4178f|
Practical approach|Comprehensive approach|are being taken to refine the approach further|9fd63130aaea96522c144e2e768fb985|
Transformational Learning|Learning|is a fundamental skill of learning|c2751c130371dd39592205774d2be02e|
Knowing about oneself|Understanding one's abilities and limits|are important for transformational learning|b39cd89db344f660a84123df6c27d5a1|
Linguistic Learning Machines (LLMs)|Answers|people approach LLMs expecting answers, instead of producing answers themselves|e25d798b4dec2b1117ceaf40aa824438|
Understanding LLMs|Understanding learning deeply|are necessary to use LLMs effectively|d2b8c7a937ce31ed08cbb20107cac29c|
Goal and knowledge map|Intuitive leaps|can be used to simplify the representation of a goal and a knowledge map|32c8bef14890bea67cbc8f4bf8b4178f|
Practical approach|Comprehensive approach|are being taken to refine the approach further|9fd63130aaea96522c144e2e768fb985|
Learner|LLMs|The learner's mind is compared to LLMs in terms of knowledge refinement|a3e28e031c2fc4b62f9dd7a0ecc03b62|
Wisdom|Human|The question of wisdom remains the domain of humans, according to the hypothesis|5fecd99971523b3881f89a16c7655db7|
Automation process|Meaningful work|The automation process reduces meaningful work that was previously only possible for humans|e3b8fa45d850603047a285b3a1537132|
LLMs|AI|The text discusses the intersection of LLMs and AI in the context of human purpose|204c044d95024c52a66d907291f6d681|
Zone of genius|Unique voice|Accessing one's zone of genius is described as making a true contribution with one's unique voice|7ca0ee1ec725fbf0ccb4bd69b7df20f1|
Vector spaces|Goals|The text explores the idea of vector spaces and goals geometrically, suggesting that this understanding can lead to new learning and tasks|ea67f85491864e8b2626a57b25fa35ba|
Learner|LLMs|The learner's mind is compared to LLMs in terms of knowledge refinement|a3e28e031c2fc4b62f9dd7a0ecc03b62|
Wisdom|Human|The question of wisdom remains the domain of humans, according to the hypothesis|5fecd99971523b3881f89a16c7655db7|
Automation process|Meaningful work|The automation process reduces meaningful work that was previously only possible for humans|e3b8fa45d850603047a285b3a1537132|
LLMs|AI|The text discusses the intersection of LLMs and AI in the context of human purpose|204c044d95024c52a66d907291f6d681|
Zone of genius|Unique voice|Accessing one's zone of genius is described as making a true contribution with one's unique voice|7ca0ee1ec725fbf0ccb4bd69b7df20f1|
Vector spaces|Goals|The text explores the idea of vector spaces and goals geometrically, suggesting that this understanding can lead to new learning and tasks|ea67f85491864e8b2626a57b25fa35ba|
LLMs|GPT|We've built this intuition after hundreds of hours of GPT use, indicating that LLMs are related to GPT.|4757cf8fa81c1535f709941d6261e60c|
practical methods|series|Now, we’re sharing it with a series of practical methods...|50554dda8e27850b179e3a9988706ef9|
deep understanding|LLMs|...of what’s special about LLMs...|d278a6e658cf052bae1a4743f7af3589|
prompting|learn|This is how you learn prompting.|78af9b6a1bb3de4c9f0168f42a2f213c|
S.C.R.I.B.E.R|framework and techniques|We call this LLM framework and techniques S.C.R.I.B.E.R...|b73153ad73ef84674f469db2ab60b15b|
excellent results|LLMs|...while building their capacity and identifying their unique contributions for excellent results from LLMs.|0c328251f69c3ab6b30383518731e5d0|
LLMs|GPT|We've built this intuition after hundreds of hours of GPT use, indicating that LLMs are related to GPT.|4757cf8fa81c1535f709941d6261e60c|
practical methods|series|Now, we’re sharing it with a series of practical methods...|50554dda8e27850b179e3a9988706ef9|
deep understanding|LLMs|...of what’s special about LLMs...|d278a6e658cf052bae1a4743f7af3589|
prompting|learn|This is how you learn prompting.|78af9b6a1bb3de4c9f0168f42a2f213c|
S.C.R.I.B.E.R|framework and techniques|We call this LLM framework and techniques S.C.R.I.B.E.R...|b73153ad73ef84674f469db2ab60b15b|
excellent results|LLMs|...while building their capacity and identifying their unique contributions for excellent results from LLMs.|0c328251f69c3ab6b30383518731e5d0|
Capability|SCRIBER Element|SCRIBER Elements are part of Capability|b1a4035717d4f257bffb9a8806e82f45|
Pedagogical Principle|Learning Experience Design|Pedagogical Principle guides Learning Experience Design|0a22cace7e2a4ec5be4be72a2d47bcc2|
Natural Language Understanding|Seek, Critique, Broaden/Contract|Natural Language Understanding is used in Seek, Critique, Broaden/Contract|d4749284bd69f0de6be7f21c03963271|
Social Interaction and Collaboration|Facilitate group discussions, peer feedback, and collaborative problem-solving|Social Interaction and Collaboration facilitates group discussions, peer feedback, and collaborative problem-solving|15defb5590324bb267994f2eb91dbae1|
Natural Language Generation|Reflect, Explain Experiential Learning and Reflection|Natural Language Generation is used in Reflect, Explain Experiential Learning and Reflection|a7d39a60db9ee22698159b4c2f55013b|
Contextual Understanding|Inquire, Explain Authentic, Real-World Problem-Solving|Contextual Understanding is used in Inquire, Explain Authentic, Real-World Problem-Solving|73d7d4c0a7a28173b7e8f79fe8f78cae|
Knowledge Retrieval and Integration|Broaden/Contract, Explain Connecting Learning to Prior Knowledge and Experiences|Knowledge Retrieval and Integration is used in Broaden/Contract, Explain Connecting Learning to Prior Knowledge and Experiences|e9a9700032795f846a9499859dfa8b55|
Adaptive and Personalized Learning|All SCRIBER Elements Scaffolding and Self-Regulated Learning|Adaptive and Personalized Learning incorporates All SCRIBER Elements Scaffolding and Self-Regulated Learning|8cb5fc8dc9a1703bbf9b810a356c55fe|
Language Translation and Multilingual Support|Seek, Broaden/Contract Diversity, Equity, and Inclusion|Language Translation and Multilingual Support is used in Seek, Broaden/Contract Diversity, Equity, and Inclusion|aa02789f6191f4c5a0f4d45107cd08b7|
Capability|SCRIBER Element|SCRIBER Elements are part of Capability|b1a4035717d4f257bffb9a8806e82f45|
Pedagogical Principle|Learning Experience Design|Pedagogical Principle guides Learning Experience Design|0a22cace7e2a4ec5be4be72a2d47bcc2|
Natural Language Understanding|Seek, Critique, Broaden/Contract|Natural Language Understanding is used in Seek, Critique, Broaden/Contract|d4749284bd69f0de6be7f21c03963271|
Social Interaction and Collaboration|Facilitate group discussions, peer feedback, and collaborative problem-solving|Social Interaction and Collaboration facilitates group discussions, peer feedback, and collaborative problem-solving|15defb5590324bb267994f2eb91dbae1|
Natural Language Generation|Reflect, Explain Experiential Learning and Reflection|Natural Language Generation is used in Reflect, Explain Experiential Learning and Reflection|a7d39a60db9ee22698159b4c2f55013b|
Contextual Understanding|Inquire, Explain Authentic, Real-World Problem-Solving|Contextual Understanding is used in Inquire, Explain Authentic, Real-World Problem-Solving|73d7d4c0a7a28173b7e8f79fe8f78cae|
Knowledge Retrieval and Integration|Broaden/Contract, Explain Connecting Learning to Prior Knowledge and Experiences|Knowledge Retrieval and Integration is used in Broaden/Contract, Explain Connecting Learning to Prior Knowledge and Experiences|e9a9700032795f846a9499859dfa8b55|
Adaptive and Personalized Learning|All SCRIBER Elements Scaffolding and Self-Regulated Learning|Adaptive and Personalized Learning incorporates All SCRIBER Elements Scaffolding and Self-Regulated Learning|8cb5fc8dc9a1703bbf9b810a356c55fe|
Language Translation and Multilingual Support|Seek, Broaden/Contract Diversity, Equity, and Inclusion|Language Translation and Multilingual Support is used in Seek, Broaden/Contract Diversity, Equity, and Inclusion|aa02789f6191f4c5a0f4d45107cd08b7|
Multilingual Support|Culturally responsive learning experiences|Provide multilingual support and culturally responsive learning experiences, allowing for inclusive communication|3058a6ac452938555ef218056593ea64|
Inclusive communication|Cultural competence|Model inclusive communication, cultural competence, and the value of diverse perspectives, emphasizing importance of understanding different cultures|0c918d32f6944647dfeb869688e570cf|
Textual Analysis|Summarization|Textual Analysis and Summarization Critique, Reflect Critical Thinking and Meaning-Making, highlighting the process of analyzing complex texts|1d713079bda49af20b06e43541a6b0d7|
Critical Thinking|Meaning-Making|Help learners analyze complex texts, extract key ideas, and synthesize information through critical thinking and meaning-making processes|73cab8b57dfc405ddc1a68a2b871c3a4|
Multilingual Support|Culturally responsive learning experiences|Provide multilingual support and culturally responsive learning experiences, allowing for inclusive communication|3058a6ac452938555ef218056593ea64|
Inclusive communication|Cultural competence|Model inclusive communication, cultural competence, and the value of diverse perspectives, emphasizing importance of understanding different cultures|0c918d32f6944647dfeb869688e570cf|
Textual Analysis|Summarization|Textual Analysis and Summarization Critique, Reflect Critical Thinking and Meaning-Making, highlighting the process of analyzing complex texts|1d713079bda49af20b06e43541a6b0d7|
Critical Thinking|Meaning-Making|Help learners analyze complex texts, extract key ideas, and synthesize information through critical thinking and meaning-making processes|73cab8b57dfc405ddc1a68a2b871c3a4|
LLM Capability|SCRIBER Element|The LLM capability is an element within SCRIBER.|d578225c44e7bc4adb43780f45bc1afb|
Pedagogical Principle|System|The pedagogical principle guides the operation of the system.|87c5dcd13f93757b0c4b9e17fc54f5ee|
Prompt|Example|Examples are used to illustrate prompts.|07e32e73fa660087785cec3879c1b3e1|
Natural Language Understanding|Seek, Critique, Broaden/Contract|The capability of natural language understanding is utilized in seeking, critiquing, and broadening or contracting learning opportunities.|8bad2b10ff1b9551f103d0c4d2676e9f|
Social Interaction and Collaboration|Encourage learners to CC their mentors or colleagues|Social interaction and collaboration are encouraged through the use of CCing mentors or colleagues in emails.|10f5f8f930e9f1c06f52da2b530793e6|
Reflect, Explain Experiential Learning and Reflection|Generate reflective prompts that encourage learners to connect their LLM interactions with real-world experiences|The capability of generating reflective prompts is used to facilitate experiential learning and reflection.|edfc0dd42b3d35a09778a35fbaacce45|
Contextual Understanding|Inquire, Explain Authentic, Real-World Problem-Solving|Contextual understanding is used to provide authentic, real-world problem-solving scenarios for learners.|b0b116f7dbd9233f3879d98d612e8361|
Knowledge Retrieval and Integration|Broaden/Contract, Explain Connecting Learning to Prior Knowledge and Experiences|The capability of knowledge retrieval and integration is used to connect learning opportunities to prior knowledge and experiences through broadening or contracting.|08ec72b4043525cec8fd2599b18d71b5|
LLM Capability|SCRIBER Element|The LLM capability is an element within SCRIBER.|d578225c44e7bc4adb43780f45bc1afb|
Pedagogical Principle|System|The pedagogical principle guides the operation of the system.|87c5dcd13f93757b0c4b9e17fc54f5ee|
Prompt|Example|Examples are used to illustrate prompts.|07e32e73fa660087785cec3879c1b3e1|
Natural Language Understanding|Seek, Critique, Broaden/Contract|The capability of natural language understanding is utilized in seeking, critiquing, and broadening or contracting learning opportunities.|8bad2b10ff1b9551f103d0c4d2676e9f|
Social Interaction and Collaboration|Encourage learners to CC their mentors or colleagues|Social interaction and collaboration are encouraged through the use of CCing mentors or colleagues in emails.|10f5f8f930e9f1c06f52da2b530793e6|
Reflect, Explain Experiential Learning and Reflection|Generate reflective prompts that encourage learners to connect their LLM interactions with real-world experiences|The capability of generating reflective prompts is used to facilitate experiential learning and reflection.|edfc0dd42b3d35a09778a35fbaacce45|
Contextual Understanding|Inquire, Explain Authentic, Real-World Problem-Solving|Contextual understanding is used to provide authentic, real-world problem-solving scenarios for learners.|b0b116f7dbd9233f3879d98d612e8361|
Knowledge Retrieval and Integration|Broaden/Contract, Explain Connecting Learning to Prior Knowledge and Experiences|The capability of knowledge retrieval and integration is used to connect learning opportunities to prior knowledge and experiences through broadening or contracting.|08ec72b4043525cec8fd2599b18d71b5|
Broaden/Contract|Explain Connecting Learning to Prior Knowledge and Experiences|related concepts|c6fda6b1fc665c1a3de0a4218ea47487|
Adaptive and Personalized Learning|Scaffolding and Self-Regulated Learning|closely related concepts|b353c4d09e15fbfc40a6d1c365d7aeda|
Language Translation and Multilingual Support|Diversity, Equity, and Inclusion|related concepts for fostering inclusivity|4cafbbf08949911acd89940be7348dff|
Textual Analysis and Summarization|Critique, Reflect Critical Thinking and Meaning-Making|closely related concepts for deep understanding|a5090bbf53706a1a94a29f00a18fd384|
Broaden/Contract|Explain Connecting Learning to Prior Knowledge and Experiences|related concepts|c6fda6b1fc665c1a3de0a4218ea47487|
Adaptive and Personalized Learning|Scaffolding and Self-Regulated Learning|closely related concepts|b353c4d09e15fbfc40a6d1c365d7aeda|
Language Translation and Multilingual Support|Diversity, Equity, and Inclusion|related concepts for fostering inclusivity|4cafbbf08949911acd89940be7348dff|
Textual Analysis and Summarization|Critique, Reflect Critical Thinking and Meaning-Making|closely related concepts for deep understanding|a5090bbf53706a1a94a29f00a18fd384|
Meaning-Making|LLM interactions|The concept of Meaning-Making is related to interacting with Large Language Models (LLM).|0fcf35a5adee9d42aa7d4b7a50682706|
Learners|critically analyze|Learners are able to critically analyze information.|624a1551f56192b7f3e91bffe4727bc7|
key points|Summarize|The action of summarizing involves identifying key points from a discussion or interaction.|261c844da5f8031ebc5b14913699f6a9|
interpretations|share with others|Interpretations are shared with others for feedback and collaboration.|34cc9de6592b03febd50e291d3440922|
feedback|refine understanding|Feedback is used to refine one's understanding or interpretation of information.|eb1065ff7863decb78f42027e8c2172e|
Meaning-Making|LLM interactions|The concept of Meaning-Making is related to interacting with Large Language Models (LLM).|0fcf35a5adee9d42aa7d4b7a50682706|
Learners|critically analyze|Learners are able to critically analyze information.|624a1551f56192b7f3e91bffe4727bc7|
key points|Summarize|The action of summarizing involves identifying key points from a discussion or interaction.|261c844da5f8031ebc5b14913699f6a9|
interpretations|share with others|Interpretations are shared with others for feedback and collaboration.|34cc9de6592b03febd50e291d3440922|
feedback|refine understanding|Feedback is used to refine one's understanding or interpretation of information.|eb1065ff7863decb78f42027e8c2172e|
Pedagogical Principle|Experiential Learning|The pedagogical principle emphasizes the importance of experiential learning, where learners engage in real-world applications to develop self-efficacy.|f473b9509cdb92a1f723fb247d1d6cd0|
SCRIBER Element|Scaffolding and Self-Regulated Learning|The SCRIBER element is used to provide scaffolding and support for self-regulated learning, helping learners build confidence and skills.|811933a3db47c2f3ff3f647b6d9206a8|
Adaptive and Personalized Learning|All SCRIBER Elements|Adaptive and personalized learning involves the use of all SCRIBER elements to provide a tailored learning experience for each learner.|0bb8be9b388c86d98e45fb177cc9e1b4|
Language Translation and Multilingual Support|Knowledge Retrieval and Integration|The LLM's language translation and multilingual support capabilities are used in conjunction with knowledge retrieval and integration to facilitate learning.|a326a8e7ae62c43dab98ed7af23f990a|
Diversity, Equity, and Inclusion|Connecting Learning to Prior Knowledge and Experiences|Fostering diversity, equity, and inclusion requires connecting learners' experiences and prior knowledge to their learning, encouraging them to seek out diverse perspectives.|3a8128da698fbf36c34ab4e3e1f21fb7|
Natural Language Generation|Contextual Understanding|The LLM's natural language generation capabilities are used in conjunction with contextual understanding to provide personalized feedback and encouragement to learners.|9a066e638e49f3bda160594d10a6ff11|
Pedagogical Principle|Experiential Learning|The pedagogical principle emphasizes the importance of experiential learning, where learners engage in real-world applications to develop self-efficacy.|f473b9509cdb92a1f723fb247d1d6cd0|
SCRIBER Element|Scaffolding and Self-Regulated Learning|The SCRIBER element is used to provide scaffolding and support for self-regulated learning, helping learners build confidence and skills.|811933a3db47c2f3ff3f647b6d9206a8|
Adaptive and Personalized Learning|All SCRIBER Elements|Adaptive and personalized learning involves the use of all SCRIBER elements to provide a tailored learning experience for each learner.|0bb8be9b388c86d98e45fb177cc9e1b4|
Language Translation and Multilingual Support|Knowledge Retrieval and Integration|The LLM's language translation and multilingual support capabilities are used in conjunction with knowledge retrieval and integration to facilitate learning.|a326a8e7ae62c43dab98ed7af23f990a|
Diversity, Equity, and Inclusion|Connecting Learning to Prior Knowledge and Experiences|Fostering diversity, equity, and inclusion requires connecting learners' experiences and prior knowledge to their learning, encouraging them to seek out diverse perspectives.|3a8128da698fbf36c34ab4e3e1f21fb7|
Natural Language Generation|Contextual Understanding|The LLM's natural language generation capabilities are used in conjunction with contextual understanding to provide personalized feedback and encouragement to learners.|9a066e638e49f3bda160594d10a6ff11|
A recent experience|[Course Topic]|How did this experience deepen my understanding or challenge my assumptions about [Course Topic]?|9f1159f0fa3ff0b959ad1349fe370450|
Assumptions|Understanding|How have my experiences and perspectives shaped my views on [Course Topic]? What new insights can I gain by sharing them with others?|523017e7119f10049fa2a196ae5582ed|
[Text]|Alternative Perspectives|What are the key arguments presented in [Text], and how do they relate to my own experiences and perspectives on [Course Topic]? What alternative viewpoints can I consider, and what new insights can I gain by discussing them with others?|98abad7e92cfcaddf191cfd08b3fd721|
Reflections|Insights|How can sharing my reflections and insights with others help me refine my thinking and deepen my understanding of [Course Topic]?|b3aa1d89353a4a9da1285de92f7321db|
A recent experience|[Course Topic]|How did this experience deepen my understanding or challenge my assumptions about [Course Topic]?|9f1159f0fa3ff0b959ad1349fe370450|
Assumptions|Understanding|How have my experiences and perspectives shaped my views on [Course Topic]? What new insights can I gain by sharing them with others?|523017e7119f10049fa2a196ae5582ed|
[Text]|Alternative Perspectives|What are the key arguments presented in [Text], and how do they relate to my own experiences and perspectives on [Course Topic]? What alternative viewpoints can I consider, and what new insights can I gain by discussing them with others?|98abad7e92cfcaddf191cfd08b3fd721|
Reflections|Insights|How can sharing my reflections and insights with others help me refine my thinking and deepen my understanding of [Course Topic]?|b3aa1d89353a4a9da1285de92f7321db|
