node_1|node_2|edge|chunk_id
Stability|Positive Change|Entrepreneurs play a role in promoting stability and positive change in volatile environments|b29a4202b53853767ae11546047a4b87
Entrepreneur|Wellbeing|The importance of entrepreneur wellbeing for resilience and success|00ab898957c01438beadf94706373631
Humor|Entrepreneurial Resilience|Humor has serious benefits for entrepreneurial resilience and success|a5ba249cbe2cb63e7d3bc5a2a1e7b088
Social Support|Entrepreneurial Resilience|Social support is critical for entrepreneur wellbeing and resilience|70bd30b6b414e4d9a306b26a9a2e672f
Peer Support|Mentorship|Peer support and mentorship are essential in navigating entrepreneurial challenges|c389d4086fc8b2bb780ce90287182609
Resilience|Success|Entrepreneurial resilience is critical for success|2458e5230ddee6c044072e74f40eca87
Social Entrepreneurs|Impact|Social entrepreneurs can build resilience and create impact in challenging contexts|7c90eb7bd2626bd6ae4a3d08d6c09156
Stability|Positive Change|Entrepreneurs play a role in promoting stability and positive change in volatile environments|b29a4202b53853767ae11546047a4b87
Entrepreneurship|Promoting Stability|The Role of Entrepreneurship in Promoting Stability and Positive Change|a923d2337c3992824d76b9e98fd13a45
Social Entrepreneurs|Transformation|Nurturing Social Entrepreneurs as Catalysts for Transformation|10f3167e741b74f265ef178cbefe3b02
Entrepreneurship|Activism|Entrepreneurship as Activism: Building Resilient Ventures for Social Change in Volatile Environments|527aa9e09a171fbeb6426632ded63185
Wellbeing|Society|How Supporting Entrepreneur Wellbeing Benefits Society in Challenging Times|f20781711094120efd56c1a42e6e1da8
Spirituality|Purpose|* The role of spirituality and faith in providing a sense of purpose and perspective for entrepreneurs|80742c9eba59848c2b1a1a307c8a3cb1
Spiritual Practices|Entrepreneurship Support|* Incorporating spiritual practices and meaning-making into entrepreneurship support|e98e53c48c6476e0d01c2bbbecfa848b
Balance|Coping/Avoidance|* Navigating the balance between spiritual coping and avoidance in the entrepreneurial journey|ef4b99a12b372c6d7bfb724ccee54f91
Entrepreneurship|Promoting Stability|The Role of Entrepreneurship in Promoting Stability and Positive Change|a923d2337c3992824d76b9e98fd13a45
Social Entrepreneurs|Transformation|Nurturing Social Entrepreneurs as Catalysts for Transformation|10f3167e741b74f265ef178cbefe3b02
Entrepreneurship|Activism|Entrepreneurship as Activism: Building Resilient Ventures for Social Change in Volatile Environments|527aa9e09a171fbeb6426632ded63185
Wellbeing|Society|How Supporting Entrepreneur Wellbeing Benefits Society in Challenging Times|f20781711094120efd56c1a42e6e1da8
Spirituality|Purpose|* The role of spirituality and faith in providing a sense of purpose and perspective for entrepreneurs|80742c9eba59848c2b1a1a307c8a3cb1
Spiritual Practices|Entrepreneurship Support|* Incorporating spiritual practices and meaning-making into entrepreneurship support|e98e53c48c6476e0d01c2bbbecfa848b
Balance|Coping/Avoidance|* Navigating the balance between spiritual coping and avoidance in the entrepreneurial journey|ef4b99a12b372c6d7bfb724ccee54f91
research|insights|related concepts|0ea595540dc948b0274072ef5a22f141
era|war|contextual relation|cb3bc5c120a6f0078b2b5c80bf1ec512
Ukraine|crisis|location-event relation|47ea0cd4da9d14c6834428ac702525fc
Israel|Palestine|location-location relation|4542edb3da2f40282f9e2539c1a1dd30
climate|crisis|event-event relation|f55a41d63f11e32d7ddce80fda0fd6fe
polarization|crisis|event-event relation|745514910b457a4ffc351f38b19927a4
entrepreneurs|communities|agent-agent relation|706d4cb365371561229974f1eef058fd
challenges|crises|event-event relation|c35173b8c47c3ae7e01f925eae9d74d9
research|strategies|concept-concept relation|f11f784084459a1271364292f3390154
uncertainty|stress|event-event relation|b6f9f41c87d349e3fc94d1e66803e6f5
support|interventions|concept-concept relation|2b693bd79b7a23f116c1fd3090b55625
resilience|purpose|concept-concept relation|87edcbbeb14274942bcca35c8f553cab
motivation|sense|concept-concept relation|5b410325a52e3e35f2777f0231974c61
polarization|division|event-event relation|e70f3b4caf7342272bd9ab82bfb9e5a2
entrepreneurship|positive change|concept-concept relation|8b1007b1f62932b3a837010da6d098d3
research|insights|related concepts|0ea595540dc948b0274072ef5a22f141
era|war|contextual relation|cb3bc5c120a6f0078b2b5c80bf1ec512
Ukraine|crisis|location-event relation|47ea0cd4da9d14c6834428ac702525fc
Israel|Palestine|location-location relation|4542edb3da2f40282f9e2539c1a1dd30
climate|crisis|event-event relation|f55a41d63f11e32d7ddce80fda0fd6fe
polarization|crisis|event-event relation|745514910b457a4ffc351f38b19927a4
entrepreneurs|communities|agent-agent relation|706d4cb365371561229974f1eef058fd
challenges|crises|event-event relation|c35173b8c47c3ae7e01f925eae9d74d9
research|strategies|concept-concept relation|f11f784084459a1271364292f3390154
uncertainty|stress|event-event relation|b6f9f41c87d349e3fc94d1e66803e6f5
support|interventions|concept-concept relation|2b693bd79b7a23f116c1fd3090b55625
resilience|purpose|concept-concept relation|87edcbbeb14274942bcca35c8f553cab
motivation|sense|concept-concept relation|5b410325a52e3e35f2777f0231974c61
polarization|division|event-event relation|e70f3b4caf7342272bd9ab82bfb9e5a2
entrepreneurship|positive change|concept-concept relation|8b1007b1f62932b3a837010da6d098d3
Entrepreneurship|Understanding|Promoting understanding through entrepreneurship|6ac907ccc372d002f20cd9ce4c975760
Cooperation|Positive change|Fostering cooperation and positive change across different groups and perspectives|0f8fc32cad44101ad67dec22c735e42c
Researcher|Entrepreneur|The journey of a researcher and entrepreneur in promoting understanding, cooperation, and positive change|68eee2fd491372ba109fc474a86480c0
Presilience training|Chaos|Entrepreneurship skills and communities as an antidote to chaos through presilience training|c49840606249f9aff0f3544c434cf815
Checkins|Deliberate rumination|The importance of checkins and deliberate rumination in the research process|d6a292a3488f0504cccbae59aca733dc
Key findings|Research paper|Identifying potential paper topics that highlight original contributions to the field based on key findings from research papers|32b785112aa92b7e72fb6773355bcdee
Buffering effect|Character strengths|The buffering effect of entrepreneurship support programs on character strengths during times of crisis|0597a5ad2bcf9d0c7cdab186595b1075
Post-traumatic growth|Resilience|The correlation between specific character strengths and post-traumatic growth, resilience, and entrepreneurial motivation|af2b6147c18cc968264215748eaee7a5
Entrepreneurship|Understanding|Promoting understanding through entrepreneurship|6ac907ccc372d002f20cd9ce4c975760
Cooperation|Positive change|Fostering cooperation and positive change across different groups and perspectives|0f8fc32cad44101ad67dec22c735e42c
Researcher|Entrepreneur|The journey of a researcher and entrepreneur in promoting understanding, cooperation, and positive change|68eee2fd491372ba109fc474a86480c0
Presilience training|Chaos|Entrepreneurship skills and communities as an antidote to chaos through presilience training|c49840606249f9aff0f3544c434cf815
Checkins|Deliberate rumination|The importance of checkins and deliberate rumination in the research process|d6a292a3488f0504cccbae59aca733dc
Key findings|Research paper|Identifying potential paper topics that highlight original contributions to the field based on key findings from research papers|32b785112aa92b7e72fb6773355bcdee
Buffering effect|Character strengths|The buffering effect of entrepreneurship support programs on character strengths during times of crisis|0597a5ad2bcf9d0c7cdab186595b1075
Post-traumatic growth|Resilience|The correlation between specific character strengths and post-traumatic growth, resilience, and entrepreneurial motivation|af2b6147c18cc968264215748eaee7a5
Entrepreneurship|Support Programs|The concept of 'pre-silience' and the potential for entrepreneurship education to proactively build resilience and prepare entrepreneurs for future challenges|160a68cbe15c6f8d193ac27fe540eadd
Resilience|Post-traumatic growth|Could inform targeted interventions and support strategies. The role of deliberate rumination and social support in promoting entrepreneur wellbeing and growth...|49ac8201628373275a27a7cc20ddf558
Entrepreneur Motivation|Targeted Interventions|...could inform targeted interventions and support strategies.|9c206f012d5c37a36dea86d047b143d9
Pre-silience|Post-traumatic growth|The potential for entrepreneurship education to proactively build resilience and prepare entrepreneurs for future challenges, rather than solely focusing on post-traumatic growth.|e2df3476be73a4c3bb989ce5455a90cd
Deliberate Rummation|Social Support|And the opportunity to intentionally incorporate these practices into support programs.|4b71a14997074d41a7609f0887233a76
Societal Implications|Systemic Implications|The importance of considering the societal and systemic implications of entrepreneur resilience and wellbeing, particularly in contexts of conflict, instability, and social division.|55c0ef0b63f6a1df717097d5defaabd2
Entrepreneurship|Support Programs|The concept of 'pre-silience' and the potential for entrepreneurship education to proactively build resilience and prepare entrepreneurs for future challenges|160a68cbe15c6f8d193ac27fe540eadd
Resilience|Post-traumatic growth|Could inform targeted interventions and support strategies. The role of deliberate rumination and social support in promoting entrepreneur wellbeing and growth...|49ac8201628373275a27a7cc20ddf558
Entrepreneur Motivation|Targeted Interventions|...could inform targeted interventions and support strategies.|9c206f012d5c37a36dea86d047b143d9
Pre-silience|Post-traumatic growth|The potential for entrepreneurship education to proactively build resilience and prepare entrepreneurs for future challenges, rather than solely focusing on post-traumatic growth.|e2df3476be73a4c3bb989ce5455a90cd
Deliberate Rummation|Social Support|And the opportunity to intentionally incorporate these practices into support programs.|4b71a14997074d41a7609f0887233a76
Societal Implications|Systemic Implications|The importance of considering the societal and systemic implications of entrepreneur resilience and wellbeing, particularly in contexts of conflict, instability, and social division.|55c0ef0b63f6a1df717097d5defaabd2
Entrepreneurial Resilience|Startup Ventures|Entrepreneurial resilience is a critical factor in navigating the challenges and uncertainties of startup ventures|aae75d501eb993918a927f0de73193b7
Character Strengths|Teamwork|Specific character strengths, such as teamwork, were found to correlate with measures of post-traumatic growth|36fc3d1496c8ccb74654a0a139b64009
Spirituality|Post-Traumatic Growth|Spirituality was found to correlate with measures of post-traumatic growth|1b66ac1dd31badc1cc65b5e021caedee
Social Intelligence|Entrepreneurial Motivation|Social intelligence was found to correlate with entrepreneurial motivation|2df7332c5c3a693ecf03ffea9f252c6b
Structured Entrepreneurship Program|Buffering Effect|Involvement in a structured entrepreneurship program had a significant buffering effect on participants' character strengths|c4f7cf143f815e1f1e11eafd1090ace6
Lebanese Entrepreneurs|Crisis and Instability|Entrepreneurial resilience is particularly important for entrepreneurs in contexts of political instability, economic disruption, and social upheaval|7110a3f2b9635338f73ff1dbaf103a85
Entrepreneurial Resilience|Startup Ventures|Entrepreneurial resilience is a critical factor in navigating the challenges and uncertainties of startup ventures|aae75d501eb993918a927f0de73193b7
Character Strengths|Teamwork|Specific character strengths, such as teamwork, were found to correlate with measures of post-traumatic growth|36fc3d1496c8ccb74654a0a139b64009
Spirituality|Post-Traumatic Growth|Spirituality was found to correlate with measures of post-traumatic growth|1b66ac1dd31badc1cc65b5e021caedee
Social Intelligence|Entrepreneurial Motivation|Social intelligence was found to correlate with entrepreneurial motivation|2df7332c5c3a693ecf03ffea9f252c6b
Structured Entrepreneurship Program|Buffering Effect|Involvement in a structured entrepreneurship program had a significant buffering effect on participants' character strengths|c4f7cf143f815e1f1e11eafd1090ace6
Lebanese Entrepreneurs|Crisis and Instability|Entrepreneurial resilience is particularly important for entrepreneurs in contexts of political instability, economic disruption, and social upheaval|7110a3f2b9635338f73ff1dbaf103a85
character strengths|post-traumatic growth|significant correlations|1468de1e39875ac800c8750d5af69e63
humor|teamwork|correlations|0967ab73a341195af77b10e44043974d
spirituality|social intelligence|correlations|4964f3c8b886d0707491da1eb4d02e61
entrepreneurial motivation|resilience|measures of|3c27d945b7f1e44335c478961619a56d
character strength assessment|development|integration into entrepreneurship education and support programs|0dd1887030f9357babaa4c2d2bb61916
pre-resilience|entrepreneurship education|proactive approach to building|c51c283e8ec95c591c3ec68e6eafc275
Lebanese entrepreneurs|Beirut Port explosion of 2020|study of before and after|140f08ee7555cc75cf4724ad4e496837
character strengths|post-traumatic growth|significant correlations|1468de1e39875ac800c8750d5af69e63
humor|teamwork|correlations|0967ab73a341195af77b10e44043974d
spirituality|social intelligence|correlations|4964f3c8b886d0707491da1eb4d02e61
entrepreneurial motivation|resilience|measures of|3c27d945b7f1e44335c478961619a56d
character strength assessment|development|integration into entrepreneurship education and support programs|0dd1887030f9357babaa4c2d2bb61916
pre-resilience|entrepreneurship education|proactive approach to building|c51c283e8ec95c591c3ec68e6eafc275
Lebanese entrepreneurs|Beirut Port explosion of 2020|study of before and after|140f08ee7555cc75cf4724ad4e496837
Entrepreneurship|Character strengths|The paper focuses on character strengths that enable entrepreneurs to navigate future challenges and uncertainties.|506080c5ac609a4fad0e533c5dc27e73
Teamwork|Spirituality|Teamwork is one of the specific character strengths that correlates with measures of post-traumatic growth, resilience, and entrepreneurial motivation.|34c489be27a2d63262b9b05ef85aebc0
Social intelligence|Entrepreneurial motivation|Social intelligence is another character strength that correlates with entrepreneurial motivation.|d5d25a6b7a96bacb1eac1ea75248afde
Pre-resilience|Deliberate rumination practices|Strategies for fostering pre-resilience include deliberate rumination practices.|42178a618c6a85e8e7220631cac8356d
Social support structures|Pre-resilience|Social support structures are also explored as a way to foster pre-resilience.|5dc29858deafcc4fcea4db0cc9a534bf
Post-traumatic growth|Resilience|The paper identifies character strengths that correlate with measures of post-traumatic growth and resilience.|d9ef87774350fd24a2344c4526f7c521
Spirituality|Deliberate rumination|Spirituality can lead to deliberate rumination, which is a strategy for fostering pre-resilience.|fd67c5d629a6d7f5be4fe11c125e0207
Entrepreneurship|Character strengths|The paper focuses on character strengths that enable entrepreneurs to navigate future challenges and uncertainties.|506080c5ac609a4fad0e533c5dc27e73
Teamwork|Spirituality|Teamwork is one of the specific character strengths that correlates with measures of post-traumatic growth, resilience, and entrepreneurial motivation.|34c489be27a2d63262b9b05ef85aebc0
Social intelligence|Entrepreneurial motivation|Social intelligence is another character strength that correlates with entrepreneurial motivation.|d5d25a6b7a96bacb1eac1ea75248afde
Pre-resilience|Deliberate rumination practices|Strategies for fostering pre-resilience include deliberate rumination practices.|42178a618c6a85e8e7220631cac8356d
Social support structures|Pre-resilience|Social support structures are also explored as a way to foster pre-resilience.|5dc29858deafcc4fcea4db0cc9a534bf
Post-traumatic growth|Resilience|The paper identifies character strengths that correlate with measures of post-traumatic growth and resilience.|d9ef87774350fd24a2344c4526f7c521
Spirituality|Deliberate rumination|Spirituality can lead to deliberate rumination, which is a strategy for fostering pre-resilience.|fd67c5d629a6d7f5be4fe11c125e0207
Social Support|Post Traumatic Growth (PTG)|Social support can lead to post traumatic growth|49b3d8dc9fb99ecc4ba917e409d13ce3
Spirituality|Deliberate Rumination|Spirituality can be a reason for deliberate rumination|d3a7d1972e9922820548e867e4e454f3
Teamwork|Social Intelligence|These character traits are related to each other and social support|86e8645ea076a38af90448d11c9cf042
Entrepreneurship|Relationship Building|Entrepreneurship can lead to relationship building and positive emotions|a202829eddc64d2dc534013fa79ccc17
Zest and Humor|Deliberate Rumination|Zest and humor can support deliberate rumination|5b237ea38d3a69de5792c80a70b0bc7f
Meaning Engine|Suffering (Spirituality)|A meaning engine allows for suffering and spirituality|cd8bc1a1bce868c48a03afd2a6ed79c4
Eustress|Entrepreneurship|Entrepreneurship can simulate eustress, which is a positive stress response|e6d3fd8a3603223e72c3951486034e54
Social Support|Post Traumatic Growth (PTG)|Social support can lead to post traumatic growth|49b3d8dc9fb99ecc4ba917e409d13ce3
Spirituality|Deliberate Rumination|Spirituality can be a reason for deliberate rumination|d3a7d1972e9922820548e867e4e454f3
Teamwork|Social Intelligence|These character traits are related to each other and social support|86e8645ea076a38af90448d11c9cf042
Entrepreneurship|Relationship Building|Entrepreneurship can lead to relationship building and positive emotions|a202829eddc64d2dc534013fa79ccc17
Zest and Humor|Deliberate Rumination|Zest and humor can support deliberate rumination|5b237ea38d3a69de5792c80a70b0bc7f
Meaning Engine|Suffering (Spirituality)|A meaning engine allows for suffering and spirituality|cd8bc1a1bce868c48a03afd2a6ed79c4
Eustress|Entrepreneurship|Entrepreneurship can simulate eustress, which is a positive stress response|e6d3fd8a3603223e72c3951486034e54
Network|Relationships|The more diverse connections you have, the easier it is to ask for help when stuck.|2c049529e8826640d531e7bd940af9d8
Vulnerability|Sharing Circles|Practicing vulnerability opens doors and leads to deeper connections.|c2b1010f0ac7fb38cf1f3b9a78a7ada9
Resilience|Post-Traumatic Growth|Deliberate rumination, social support, character strengths, and proactive skill development foster growth and resilience in the face of adversity.|c19bfcad01ee3e39e576b236a2f47a48
Network|Relationships|The more diverse connections you have, the easier it is to ask for help when stuck.|2c049529e8826640d531e7bd940af9d8
